"","jobs","jobtitle","dictionary","id"
"14850","industrial engineers","development engineer","development engineer development engineer development including design product characteristics documentation produce customers education training",13597
"14874","supervisors of sales staff non retail","business development manager entry level","business development manager entry level business development manager entry level development manager openings hire executives innovative company management manage marketing",13617
"14884","training and development managers","development manager","development manager development manager summary primary role development manager support training operations",13626
"14887","training and development specialists","manager sales training development job","manager sales training development job manager sales training development job manager sales training development description",13629
"14889","training and development managers","organizational development manager","organizational development manager organizational development manager organizational development manager problem",13631
"14894","public relations managers","sr development manager fundraising","sr development manager fundraising sr development manager fundraising information visit jdrf seeking development manager",13636
"14914","training and development managers","director of training development","director of training development director of training development development learning knowledge management seeking director training feedback models influence performance",13656
"14924","training and development managers","director of learning development","director of learning development director of learning development development reports restaurant operations officer leads team individuals candidates",13666
"14938","medical scientists except epidemiologists","director clinical research oncology experimental medicine early development job","director clinical research oncology experimental medicine early development job director clinical research oncology experimental medicine early development job director clinical research oncology experimental development",13679
"14939","public relations managers","director of development","director of development director of development catholic charities description position title director development",13680
"14942","computer and information systems managers","client service director business development","client service director business development client service director business development classification operations manager director compensation business development negotiation communication",13683
"14943","public relations managers","director of development","director of development director of development workplace position title director development summary knowledge budgeting process fund",13684
"14953","construction managers","director of construction and development","director of construction and development director of construction and development director development private equity firm located",13694
"14961","training and development managers","sr director leadership development","sr director leadership development sr director leadership development employees worldwide data scientists sales operations experts hiring",13701
"14987","automotive master mechanics","lead development operations engineer","lead development operations engineer lead development operations engineer position responsibilities development operations devops engineer responsible",13726
"14989","software quality assurance engineers and testers","development operations engineer","development operations engineer development operations engineer system development operations integration experience healthcare sciences industries",13728
"15008","mechanical engineers","mechanical systems engineer solution development","mechanical systems engineer solution development mechanical systems engineer solution development mechanical systems engineer solution development company description dematic",13747
"15026","computer hardware engineers","staff engineer hardware development job","staff engineer hardware development job staff engineer hardware development job project deliverables required training manufacturing operations engineers technicians",13761
"15031","industrial engineers","quality engineer new product development lifecycle management lcm job","quality engineer new product development lifecycle management lcm job quality engineer new product development lifecycle management lcm job quality engineer product development lifecycle management description",13766
"15034","industrial engineers","energy solutions development engineer i","energy solutions development engineer i energy solutions development engineer i senior engineers works partner operation team build preliminary requirements bachelor degree business",13769
"15036","software quality assurance engineers and testers","java software development engineer in test","java software development engineer in test java software development engineer in test commitment clients support critical infrastructure operations resulting modern development languages",13771
"15066","training and development specialists","organizational development and training manager","organizational development and training manager organizational development and training manager seeking qualified applicants position operations subject matter expert ability collaboratively",13801
"15079","training and development managers","manager learning development leadership","manager learning development leadership manager learning development leadership manager learning development leadership description responsible",13813
"15085","construction managers","development sustainability project manager","development sustainability project manager development sustainability project manager development sustainability project manager annually apply",13819
"15103","training and development specialists","people development specialist","people development specialist people development specialist identifies training development researches designs purchases bachelor degree human resources",13833
"15114","civil engineers","senior civil engineer land development","senior civil engineer land development senior civil engineer land development senior civil engineer development experience proficiency autocad engineering",13844
"15123","marketing managers","business development manager labels packaging syracuse albany rochester","business development manager labels packaging syracuse albany rochester business development manager labels packaging syracuse albany rochester including services design press research development converting fulfillment",13852
"15134","training and development managers","curriculum development manager","curriculum development manager curriculum development manager curriculum development packages develops standards processes instructional design specialist",13862
"15141","training and development specialists","provider training and development consultant icd central region","provider training and development consultant icd central region provider training and development consultant icd central region provider training development consultant responsible duties primary",13869
"15142","chemical engineers","purification development associate iii","purification development associate iii purification development associate iii purification development associate responsibilities experience biopharmaceutical",13870
"15143","training and development specialists","senior learning and development specialist talent managment","senior learning and development specialist talent managment senior learning and development specialist talent managment reach financial goals senior learning development requirements master degree relevant",13871
"15156","sales reps services","business development inside sales","business development inside sales business development inside sales business development representative years data",13883
"15158","training and development managers","director education development","director education development director education development stability workforce enjoys director education development aspects training years",13884
"15160","automotive master mechanics","automotive diesel technician mechanic ford auto tech","automotive diesel technician mechanic ford auto tech automotive diesel technician mechanic ford auto tech automotive diesel technicians mechanics record breaking technician",13886
"15162","automotive master mechanics","automotive diesel technician mechanic ford auto tech","automotive diesel technician mechanic ford auto tech automotive diesel technician mechanic ford auto tech automotive diesel technicians mechanics full benefits technician",13887
"15163","bus and truck mechanics and diesel engine specialists","ford technician diesel service","ford technician diesel service ford technician diesel service automotive diesel technicians mechanics health benefits technician",13888
"15164","bus and truck mechanics and diesel engine specialists","diesel maintenance technician service mechanic","diesel maintenance technician service mechanic diesel maintenance technician service mechanic providers experienced quality minded diesel technician role requirements maintenance",13889
"15165","bus and truck mechanics and diesel engine specialists","diesel mechanic technician","diesel mechanic technician diesel mechanic technician student hiring diesel mechanics technicians applicants qualifications",13890
"15166","bus and truck mechanics and diesel engine specialists","diesel mechanic technician sign on bonus","diesel mechanic technician sign on bonus diesel mechanic technician sign on bonus truck trailer diesel technician venezia transport shop equipment",13891
"15168","bus and truck mechanics and diesel engine specialists","diesel mechanic automotive maintenance technician","diesel mechanic automotive maintenance technician diesel mechanic automotive maintenance technician entry diesel automotive maintenance technician description special",13892
"15170","bus and truck mechanics and diesel engine specialists","automotive diesel technician mechanic ford certified tech","automotive diesel technician mechanic ford certified tech automotive diesel technician mechanic ford certified tech automotive diesel technicians mechanics sign bonus technician",13894
"15172","electronics engineering technicians","automotive diesel technician mechanic ford auto tech","automotive diesel technician mechanic ford auto tech automotive diesel technician mechanic ford auto tech automotive diesel technicians mechanics volume computer technician",13896
"15173","bus and truck mechanics and diesel engine specialists","diesel mechanic technician","diesel mechanic technician diesel mechanic technician calls title diesel technician automotive rate qualifications",13897
"15175","automotive master mechanics","automotive diesel technician mechanic ford auto tech","automotive diesel technician mechanic ford auto tech automotive diesel technician mechanic ford auto tech automotive diesel technicians mechanics bonus sign technician",13899
"15176","automotive master mechanics","automotive diesel technician mechanic ford auto tech","automotive diesel technician mechanic ford auto tech automotive diesel technician mechanic ford auto tech automotive diesel technicians mechanics sign bonus considered technician",13900
"15178","bus and truck mechanics and diesel engine specialists","diesel maintenance technician service mechanic","diesel maintenance technician service mechanic diesel maintenance technician service mechanic providers experienced quality minded diesel maintenance technician requirements",13901
"15180","bus and truck mechanics and diesel engine specialists","diesel mechanic technician","diesel mechanic technician diesel mechanic technician technician experienced diesel engine heavy duty truck repair join dynamic team maintenance",13902
"15181","bus and truck mechanics and diesel engine specialists","diesel technician entry level now hiring","diesel technician entry level now hiring diesel technician entry level now hiring types diesel technicians full positions qualifications technician",13903
"15185","automotive master mechanics","automotive diesel technician mechanic ford auto tech","automotive diesel technician mechanic ford auto tech automotive diesel technician mechanic ford auto tech automotive diesel technicians mechanics isn technician",13905
"15187","automotive master mechanics","automotive diesel technician mechanic ford auto tech","automotive diesel technician mechanic ford auto tech automotive diesel technician mechanic ford auto tech automotive diesel technicians mechanics full benefits paid technician",13907
"15188","automotive master mechanics","automotive diesel technician mechanic ford auto tech","automotive diesel technician mechanic ford auto tech automotive diesel technician mechanic ford auto tech automotive diesel technicians mechanics utter family technician",13908
"15189","automotive master mechanics","automotive diesel technician mechanic ford auto tech","automotive diesel technician mechanic ford auto tech automotive diesel technician mechanic ford auto tech automotive diesel technicians mechanics sign bonus relocation technician",13909
"15193","bus and truck mechanics and diesel engine specialists","diesel maintenance technician service mechanic","diesel maintenance technician service mechanic diesel maintenance technician service mechanic technician role diesel maintenance troubleshoot repair engines requirements",13910
"15210","advertising and promotions managers","digital account director","digital account director digital account director digital account director join team",13927
"15214","advertising and promotions managers","account director digital","account director digital account director digital position account director digital status freelance estimated duration planning experience relevant",13931
"15216","public relations managers","director of digital communications strategy and development","director of digital communications strategy and development director of digital communications strategy and development paced environment constantlyexploring purpose director digital strategy communications preferably",13933
"15229","public relations specialists","director of digital media","director of digital media director of digital media wusa gannett affiliate seeking cutting director digital",13946
"15231","public relations managers","director of digital communications","director of digital communications director of digital communications support visit youngarts director degree",13948
"15260","engineering managers","digital innovation lab manager ri","digital innovation lab manager ri digital innovation lab manager ri consulting resources successful providing project directors program managers analysts assist client director",13977
"15265","education administrators postsecondary","admissions director","admissions director admissions director greenery searching dedicated talented admissions director qualifications years experience",13982
"15266","education administrators postsecondary","director of admissions","director of admissions director of admissions tech opening director admissions position preferred qualifications private secondary",13983
"15269","education administrators postsecondary","director of admissions","director of admissions director of admissions director admissions purpose position primary educational requirements",13986
"15273","education administrators postsecondary","director of admissions","director of admissions director of admissions position summary director admissions manages activities serves primary insure",13988
"15281","mental health and substance abuse social workers","admissions director licensed clinical social worker","admissions director licensed clinical social worker admissions director licensed clinical social worker admissions director licensed clinical worker note position lcsw years experience",13996
"15288","education administrators postsecondary","director of admissions","director of admissions director of admissions director admissions leadership role department responsible position requires bachelors degree",14002
"15303","education administrators postsecondary","admissions director","admissions director admissions director directed administrator corporate director admissions consultant interested candidates",14017
"15304","education administrators postsecondary","director of admissions","director of admissions director of admissions traveling campuses director admissions position interfaces prospective existing combination education experience",14018
"15305","mental health and substance abuse social workers","admissions director licensed clinical social worker","admissions director licensed clinical social worker admissions director licensed clinical social worker admissions director licensed clinical worker position summary oversees directly years experience bilingual",14019
"15310","mental health and substance abuse social workers","admissions director licensed clinical social worker","admissions director licensed clinical social worker admissions director licensed clinical social worker referral mechanisms admissions office staff maintains supervisory direction dispositional years experience",14024
"15313","education administrators postsecondary","senior admissions director","senior admissions director senior admissions director trains orients directors admissions assists training staff backup",14027
"15315","education administrators postsecondary","director admissions and enrollment management","director admissions and enrollment management director admissions and enrollment management director admissions enrollment management position dynamic innovative required years",14029
"15323","education administrators postsecondary","admissions director","admissions director admissions director services admissions director oversee department ensuring",14036
"15359","operations managers","regional director of operations","regional director of operations regional director of operations director operations rapidly growing healthcare organization seeking requirements",14071
"15383","marketing managers","category director","category director category director creating coordinating executing strategies tactics product development marketing operations education",14094
"15452","quality control systems managers","director of quality management and continuous improvement","director of quality management and continuous improvement director of quality management and continuous improvement foods seeks technically proficient director quality management manufacturing engineering preferred demonstrated",14159
"15462","database administrators","director of database administration","director of database administration director of database administration position open director database administration financial saas",14168
"15471","engineering managers","director program management","director program management director program management title director program management technologies leading supplier integrated",14177
"15474","personnel recruiters","director of program management aerospace","director of program management aerospace director of program management aerospace description client established manufacturer isseeking director skills degree engineering",14180
"15484","chief executives","public works director","public works director public works director seeking public works director amenities application",14189
"15519","public relations specialists","director of marketing and communications","director of marketing and communications director of marketing and communications director marketing communications authority jmaa professional references",14219
"15532","engineering managers","director structuring","director structuring director structuring developer transactions targeted corporate business development coordinate",14230
"15538","web developers","it director web","it director web it director web join department experienced shared services director",14236
"15539","business intelligence analysts","director of business intelligence and data","director of business intelligence and data director of business intelligence and data westerra hiring director business intelligence data located",14237
"15549","managers","senior director program project operations","senior director program project operations senior director program project operations senior director program project operations umkc minimum qualifications bachelor degree",14247
"15566","auditors","senior director of global internal audit","senior director of global internal audit senior director of global internal audit leading developer manufacturer distributor quality therapy sold donjoy empi",14262
"15570","human factors engineers and ergonomists","director of user experience ux","director of user experience ux director of user experience ux descriptionbioreference recruiting full director user experience based",14266
"15575","engineering managers","director of engineering","director of engineering director of engineering deliver multiple security saas solutions understand business transactional data driven platforms",14271
"15579","medical and health services managers","executive director medical imaging technology alliance","executive director medical imaging technology alliance executive director medical imaging technology alliance director imaging technology ability translate cogent persuasive",14275
"15597","computer and information systems managers","director of technology","director of technology director of technology developers building effective application solutions business knowledge technical leadership",14291
"15621","computer security specialists","director of sales development","director of sales development director of sales development funeraldirectorslife director sales development active constantly ways",14313
"15624","marketing managers","director of business development","director of business development director of business development markets ownership business development activities leading company qualifications education requirements",14316
"15629","food service managers","sr director of food nutrition services","sr director of food nutrition services sr director of food nutrition services description director food nutritional services exciting opportunity qualifications degree",14321
"15642","food service managers","director of food and nutrition services","director of food and nutrition services director of food and nutrition services description director food nutritional services exciting opportunity qualifications degree",14333
"15644","food service managers","dining services director senior living","dining services director senior living dining services director senior living food dining management services exceed customers clients expectations",14335
"15679","public relations managers","executive director","executive director executive director director introduction bluegrass music museum ibmm responsibilities participate",14367
"15681","public relations managers","public affairs director","public affairs director public affairs director directors develop implement strategic marketing communication plans provide related developing maintaining",14369
"15691","marketing managers","creative director corporate design","creative director corporate design creative director corporate design activities content communications team leads teaches inspires creative design ranging marketing communication",14379
"15696","public relations managers","director sr manager of public relations","director sr manager of public relations director sr manager of public relations individual corporate summary communications team collaborate bachelor degree public relations",14384
"15710","industrial safety and health engineers","director of safety","director of safety director of safety responsibilities director helps ensure managers required qualifications experience technical requirements",14398
"15732","industrial production managers","director of manufacturing processes automotive na","director of manufacturing processes automotive na director of manufacturing processes automotive na title director manufacturing processes automotive",14420
"15746","training and development specialists","director of corporate development training biotech pharmaceutical","director of corporate development training biotech pharmaceutical director of corporate development training biotech pharmaceutical director corporate development training biotech pharmaceutical resumes client",14432
"15750","medical and health services managers","regional hiim director","regional hiim director regional hiim director issues charging processes related areas teleconference presentation assist corporate office",14436
"15771","operations managers","director claims support","director claims support director claims support processes ensure compliance company policies legal requirements regulatory mandates participates rapidly understand complex",14456
"15792","quality control systems managers","director quality assurance","director quality assurance director quality assurance summary position responsibilities director quality assurance leads functionally business units",14476
"15802","social and community service managers","executive director","executive director executive director understanding processes policies employees members volunteers implement board approved",14486
"15823","public relations managers","director communications public policy","director communications public policy director communications public policy position summary director communications public affairs create implement manage corporate master",14507
"15833","training and development managers","director of learning strategy","director of learning strategy director of learning strategy supervision director learning strategy position accountable",14517
"15835","training and development managers","director of education corporate trainer","director of education corporate trainer director of education corporate trainer manager director divisions provide classroom training demonstrations",14519
"15838","operations managers","corporate director of operations","corporate director of operations corporate director of operations corporate director operations responsible provide visionary operational accidents serves disaster control",14522
"15847","compliance managers","director corporate compliance official medicare","director corporate compliance official medicare director corporate compliance official medicare development strategy planning execution effectively comprehensive risk assessments develop",14531
"15851","compensation and benefits managers","group director employee benefits account management","group director employee benefits account management group director employee benefits account management corporate synergies group employee benefits insurance brokerage clients tasks ability develop multi",14535
"15860","art directors","advertising agency associate creative director","advertising agency associate creative director advertising agency associate creative director director years corporate experience extensive associate creative",14544
"15871","treasurers and controllers","director finance","director finance director finance director finance description directing departments financial accounting skills attributes",14555
"15880","industrial production managers","associate director processing reliability job","associate director processing reliability job associate director processing reliability job impacts business customers opportunities iteratively continuously relentlessly improve service",14563
"15899","computer software engineers applications","director software development paas","director software development paas director software development paas business agility provide timely communication stakeholders customers issue",14581
"15908","marketing managers","marketing events manager","marketing events manager marketing events manager client marketing events manager essential functions reach creative",14589
"15963","marketing managers","director digital marketing","director digital marketing director digital marketing anecdotal hypotheses consumer insights spend disproportionate amount career domain knowledge insight",14642
"15977","art directors","creative director","creative director creative director complex inconsistent consumer data anecdotal hypotheses insights insight skills ensuring",14656
"16052","computer and information systems managers","director of information management","director of information management director of information management management data quality business operations include creation",14727
"16060","operations research analysts","revenue cycle analyst patient access iii ft irving texas","revenue cycle analyst patient access iii ft irving texas revenue cycle analyst patient access iii ft irving texas responsible management analysis revenue cycle initiatives serving patient access processes attitude advanced knowledge",14735
"16097","social and community service managers","director of housing and community development","director of housing and community development director of housing and community development authority director development position detailed knowledge",14770
"16108","public relations managers","sr director of development","sr director of development sr director of development dynamic individual isskilled prospecting seniordevelopment director position",14780
"16111","social and community service managers","director manager of child youth development program accreditation","director manager of child youth development program accreditation director manager of child youth development program accreditation position summary director child youth development program accreditation specific duties",14783
"16127","training and development managers","director training delivery","director training delivery director training delivery role summary director training delivery responsible effective knowledge adult learning principles project",14799
"16128","training and development managers","regional education director wfl","regional education director wfl regional education director wfl operations education directors regularly update bachelor degree business",14800
"16131","training and development managers","assistant director of education","assistant director of education assistant director of education title assistant director education reports purpose research evaluate submit resume cover",14803
"16132","computer and information systems managers","director service delivery manager","director service delivery manager director service delivery manager manage service requests communicate delivery issues related professional business environment years",14804
"16144","training and development managers","director education","director education director education position description summary director education reports",14814
"16147","training and development managers","director of education corporate trainer","director of education corporate trainer director of education corporate trainer duties responsibilities plan develop organize implement education",14817
"16154","training and development managers","director manager training and technical assistance","director manager training and technical assistance director manager training and technical assistance director manager training technical assistance responsible contractors internal subject matter experts",14824
"16156","education administrators postsecondary","national workplace competency director","national workplace competency director national workplace competency director nationally ranked institution higher education position objective workplace competency",14826
"16157","training and development managers","director of workforce training continuing education","director of workforce training continuing education director of workforce training continuing education application process position overview director workforce training continuing education occupies",14827
"16159","education administrators postsecondary","emergency medical services department chair program director","emergency medical services department chair program director emergency medical services department chair program director program director education experience credentials reviewed recognized department",14828
"16163","training and development managers","director of education quality assurance","director of education quality assurance director of education quality assurance director manages implementation education quality assurance programs specialty centers",14831
"16177","clinical research coordinators","associate clinical project management director leadership allergy respiratory infectious diseases vaccines","associate clinical project management director leadership allergy respiratory infectious diseases vaccines associate clinical project management director leadership allergy respiratory infectious diseases vaccines seeking associate clinical project management directors specializing including years",14844
"16193","education administrators postsecondary","director it academic teaching technologies","director it academic teaching technologies director it academic teaching technologies faculty education analytics classroom delivery simulations content management serving quality experiences hire",14859
"16198","medical and health services managers","director of nursing","director of nursing director of nursing team director nursing correctional located management experience",14864
"16201","purchasing managers","director of supply chain","director of supply chain director of supply chain director multiple responsibilities ensure purchasing employees essential",14867
"16203","social and community service managers","program director","program director program director posting notice date posted title program director employment type intervention skills demonstrated knowledge mental",14869
"16221","engineering managers","director of engineering","director of engineering director of engineering leads team engineers support personnel successfully implement driver license required experience minimum",14886
"16223","engineering managers","director of engineering","director of engineering director of engineering engineering director heavy equipment manufacturer seeks candidate years",14888
"16227","engineering managers","director of engineering operational support","director of engineering operational support director of engineering operational support director engineering operational support responsibilities accountabilities provide requirements skill knowledge expertise",14892
"16237","industrial safety and health engineers","health safety director bs or engineer years of refining","health safety director bs or engineer years of refining health safety director bs or engineer years of refining document control system team health director engineering",14902
"16273","network and computer systems administrators","ucs director integration engineer data centre specialist","ucs director integration engineer data centre specialist ucs director integration engineer data centre specialist title director integration engineer data centrespecialist",14936
"16285","vocational education teachers postsecondary","assistant director of vocational nursing","assistant director of vocational nursing assistant director of vocational nursing growth position description assistant director vocational nursing assists administration demonstrated curriculum",14947
"16298","food service managers","director of food services","director of food services director of food services director food services purpose position primary education possess",14960
"16299","social and community service managers","social service director","social service director social service director service director purpose position primary education possess",14961
"16309","purchasing managers","director of procurement","director of procurement director of procurement director procurement position located complete employment application",14971
"16355","compensation and benefits managers","business administration director human resources hr accounting","business administration director human resources hr accounting business administration director human resources hr accounting director management financial human resources obligations knowledge hris system",15015
"16356","compensation and benefits managers","business administration director human resources hr accounting","business administration director human resources hr accounting business administration director human resources hr accounting director maintain close relationship corporate accounting human resources knowledge hris system business",15016
"16360","human resources managers","director of human resources","director of human resources director of human resources director human resources services board provider bachelor degree public",15020
"16371","human resources managers","assistant human resources director organizational development","assistant human resources director organizational development assistant human resources director organizational development role assistant director human resources position responsible firm minimum requirements bachelor degree",15031
"16384","human resources managers","human resources director gering nebraska","human resources director gering nebraska human resources director gering nebraska human resources director grade salary references envelope",15044
"16413","human resources managers","human resources director distribution services","human resources director distribution services human resources director distribution services provide multi human resources leadership support growing domestic network business",15073
"16438","computer and information systems managers","robert half technology information search division director perm","robert half technology information search division director perm robert half technology information search division director perm summary division director responsibilities include business",15098
"16443","computer and information systems managers","information technology director","information technology director information technology director director role infrastructure strategy tactical actions multiple",15103
"16444","computer and information systems managers","director information security","director information security director information security information security director responsible managing risks related bachelor degree equivalent",15104
"16457","computer and information systems managers","director hr payroll technology support services","director hr payroll technology support services director hr payroll technology support services legal information technology management communications corporate governance services",15116
"16460","computer and information systems managers","director it project mgmt large portfolio exp optum technology golden valley mn hartford ct or detroit mi","director it project mgmt large portfolio exp optum technology golden valley mn hartford ct or detroit mi director it project mgmt large portfolio exp optum technology golden valley mn hartford ct or detroit mi manage implementation highly visible technology programs accountable delivery careers optum",15119
"16493","computer and information systems managers","director information risk","director information risk director information risk member director information risk join growing security team primarily requirements education requires",15151
"16503","medical records and health information technicians","director health information management coding","director health information management coding director health information management coding seeking director health information management coding assist daily operations assistant",15161
"16511","recreational therapists","activity director","activity director activity director activity director function responsible ensuring rounded recreation program preferred valid driver license",15167
"16512","supervisors of mechanics installers and repairers","facilities support manager","facilities support manager facilities support manager manufacturing facilities countries career opportunity support manager bachelor degree engineering",15168
"16514","industrial safety and health engineers","ehs facilities manager","ehs facilities manager ehs facilities manager systems develops cer expense approval manufacturing facilities qualifications experience engineering",15170
"16516","administrative services managers","facilities manager","facilities manager facilities manager seeking facilities manager located operations experience",15172
"16517","supervisors of mechanics installers and repairers","facility manager","facility manager facility manager manager required oversee direct engineers maintenance technicians customer discipline include electrical",15173
"16521","supervisors of mechanics installers and repairers","facilities maintenance manager rocky mount nc","facilities maintenance manager rocky mount nc facilities maintenance manager rocky mount nc members working manufacturing facilities create",15177
"16529","industrial production managers","maintenance facilities manager","maintenance facilities manager maintenance facilities manager predictable cost maintenance manager strategic executional leadership facilities experience food",15185
"16530","construction managers","project manager facilities","project manager facilities project manager facilities engineering experience planning design manufacturing related facilities",15186
"16534","supervisors of production and operating staff","production manager plastic manufacturing","production manager plastic manufacturing production manager plastic manufacturing position report manager provide leadership direction manufacturing management",15190
"16541","administrative services managers","facility manager","facility manager facility manager seeking manager provide single contact laboratory research facilities experience",15196
"16543","industrial safety and health engineers","facilities safety manager downstream operator chemicals","facilities safety manager downstream operator chemicals facilities safety manager downstream operator chemicals facilities manager company specializes manufacturing petrochemicals",15198
"16544","supervisors of mechanics installers and repairers","maintenance and facilities manager","maintenance and facilities manager maintenance and facilities manager skills working knowledge manufacturing equipment facilities systems experience managing projects",15199
"16545","industrial production managers","plant manager","plant manager plant manager operational activities manufacturing reporting functional areas",15200
"16548","engineering managers","still open project manager","still open project manager still open project manager islandmanufacturing company located project manager torun environment havespecific experience",15203
"16558","supervisors of mechanics installers and repairers","facilities service manager","facilities service manager facilities service manager seeking facilities service manager join team employment drug alcohol screening",15213
"16562","supervisors of mechanics installers and repairers","maintenance manager","maintenance manager maintenance manager working manufacture maintenance manager experience manufacturing including",15217
"16566","engineering managers","manufacturing engineering manager","manufacturing engineering manager manufacturing engineering manager searching manufacturing engineering manager position responsible planning education experience required",15221
"16567","industrial safety and health engineers","manager safety","manager safety manager safety technologies manufacturing facilities font family serif minimum years",15222
"16571","industrial safety and health engineers","environmental health and safety manager chemical manufacturing","environmental health and safety manager chemical manufacturing environmental health and safety manager chemical manufacturing environmental health manager chemical manufacturing salary engineers managers distribution visit website",15226
"16577","industrial safety and health engineers","process safety manager","process safety manager process safety manager implement formal plan multiple distribution locations travel facilities mechanical preferred previous",15231
"16581","industrial production managers","manufacturing manager","manufacturing manager manufacturing manager manufacturing managers facilities provide daily degree business administration",15235
